i'm taking berberine twice a day with metformin 500mg twice a day. it has helped reverse my gut issues that metformin has caused. some say it is just as effective as metformin to balance your sugars. i took berberine by itself for two weeks. unfortunately,comment44
"i am also type 2, and i use long-action insulin twice a day, and i take glimepiride. i stopped metformin because my doctor said is started to affect my kidneys. i have more lows than highs on the insulin.",comment57
"my a1c was 9.1 at the end of may. on july 1st i started eating low carb/high fat. in two months i've lost 30 lbs, my metformin was cut in half from 2000 mg to 1000 mg, my glipizide was cut in half from 10 mg to 5 mg and i completely got rid of my januvia ",comment87
hi. my a1c didn't go down anymore. i was in metformin 3 times a day and victoza. i just got diarrhea and felt like crap. i went to 2 different doctors but they all told me to take some more metformin....i finally switched the doc again and she took me off,comment92
metformin can be good for some. it put me into kidney failure 4 yrs. ago. i was also on 2000 mg.plus lantus and glucotrol. my bs went through the roof and stayed there after getting off metformin so i was put on insulin. novolog. the problem is my primary,comment117
"i was put on metformin a year ago myself..was told type 2 diabetic.
started feeling strange after about a year..tested and showed my thyroid was in hyper  mode!!
dropped my thyroid meds to 75mg from 112.
told me to stop metformin as i also started have pr",comment123
i was put on the 500 mg metformin meds but i was told to lose 50 pounds in 90 days but i wanna know do i supposed to hurt in my stomach so bad i feel sick when i eat also,comment142
"i think i might have it.... symptoms worse since i quit smoking 5 months ago & now my gastro says i have 'fatty liver'. i've always been thirsty, so it's hard to gauge that, but i wake up early every am to pee, skin itchy sometimes, taking longer for bite",comment421
"feel sick and really slow, this last 5 days i've been nausiated and all my bones hurt and i can barely move ugh wtf?",comment830
no thanks... got better things to do than get high,comment1111
i got pancreatitis from victoza. be careful.,comment1170
i used victoza and lost 10  dress sizes.  my bmi is 21.9 and the doc took me off the other diabetes med.  i still have a sweet tooth but i avoid candy and only eat small portions of deserts.  eat fruit rather than processed sugars.,comment1173
"that is exactly what happened with me, i have victoza as well, i weighed 240 pounds now i weigh 150, took me 3 yrs but discovered that small portions and counting carbs, sugars on everything had a big play, i dont exercise, i have a very active job, lol! ",comment1178
2 years ago was 10 0; last a1c test in april 2013 was 6.1,comment1253
better than the one before it...lo,comment1282
"for lower than normal blood sugar for me i feel sick to my stomach like i hadn't eaten in a long time (even if i ate 3 hours ago), i feel shaky, kind of in a mental fog. but usually when that happens my sugar is normal (90-110) which i find odd. but then ",comment1571
"adding 2.5mg glipizide twice a day with my 1,000mg metformin twice a day has helped a lot.",comment1807
"my dr said i could have alcohol, just not on an empty stomach because it does lower blood sugar...and of course, not to excess. :)",comment1888
"there are plenty of reasons to stop taking metformin- chronic nausea, vomiting, gas and diarrhea are a few valid ones but alcohol consumption is not.",comment1891
i had stopped taking metformin about two years ago when i first started taking it because it made me so very sick...my diabetes has gotten worse since then so i'm back on it. i'm going on day number 3 and last night i had a 24 ounce bud light and everythi,comment1898
my mom is on a newer drug that helps reve up the slowed production of insulin. only it gives her horrible hiccups all day and bad diarrhea. is this just something you just have to live with?,comment1902
i understand about the meds. ...i took metformin and my numbers got higher. ...i craved breads snd sweets....i gained 4 pounds in a week. .... so i understand. ....i love my pasta what i do is a couple times a month that is my special meal did me. ...i do,comment2010
"i can't take metformin. it nearly killed me. so back to insulin and fingersticks- or rather, forearm sticks. i got the ok from the doc to use the arm and it doesn't hurt - neither do the nano needles for insulin delivery. yes, it sucks. but i'd rather sti",comment2024
metformin gave me upset tummy & nasty bms... but my body adjusted after about 2 weeks. no more side effects,comment2133
"sitaglipton brings the itchy skin and blisters:((( may go back to metaformin and stick at it for a bit.......tummy may settle tabbi, lori have u any side effects, and did u have pills b4 that?",comment2137
victoza did wonders for me.  currently not taking anything.  victoza has side effects with tummy but subsided.  also it causes some hair loss.,comment2138
currently on metformin 500 mg 1x a day. i'm constantly hungry and crave sweet stuff that i didn't like eating before. at work i basically munch on one bag of popcorn throughout the day.,comment2139
"hello:  i feel your ""pain""!  metformin (p??) made me vomit with in 30 minutes. i can't remember what i went on after metformin  but the pills never ever made me feel ""ok"".  after 2 years of controlling my blood glucose with exercise and less stress, i wen",comment2142
"i was on most pills for type 2. most made me so sick to my stomach, i couldn't even get to work some days. i've been on insulin for over 6 mos. and my numbers have started coming under much better control, not stomach problems, we're still adjusting the a",comment2146
metformin made me very nauseated at first...are you eating food throughout the day? i am doing very well with it now,comment2556
"no it is not a fat disease.  i am 4' 11"" and i weigh 130 lbs.  i am a little over weight.  you just need to get back to monitoring your sugar levels and taking your metformin.  i personally did not like metformin.  it made my feel sick all the time.  but ",comment2721
"makes your stomach upset , diarrhea",comment3008
"when i first started taking this drug, i had horrible nausea. i was not eating enough. my body now tolerates it well...and my blood sugars are perfect! six months after i have started taking it. just follow doctors instructions and do lots of walking to h",comment3009
the screaming shits and night sweats,comment3010
direahea but it helps blood suvars,comment3012
it was (i have changed to another oral med) was very tough on me from nausea and even vomiting aspect...i was on it was 90 or so days and every one of them i was sick...,comment3015
after months of constipation i'm looking forward to the opposite for a while lol!  i used to take it when pregnant and it gave me stomach cramps !  was put back on it yesterday for type 2 and so far i'm ok!  early days though!,comment3017
it didnt bring my # down where they should be and had really bad diarrhea had to be switched to another med but my husband went on it and had no side effects and # are awesome,comment3021
"stomach pain, not nausea, pain. and diarrhea and bloating.",comment3025
"bloated, night sweats and very loose stools",comment3028
"i had some diarrhea when i first started taking it and with each increase in dosage, but doing fine now on 1500 mg per day of the extended release.",comment3030
serious stomach pain! will not take!!,comment3031
i took it for about 2 months but it made me feel very sick and caused my sugar to drop extremely low at least a few times a week. my doctor wanted me to continue taking it but i refused. i controlled my sugar through my diet and was able to keep my sugar ,comment3032
horrible gas... just ask my husband!,comment3033
gives me a bit of a dry mouth but that passes works great,comment3036
"vomiting and diarrhea the first month, but clear after that.",comment3038
diarrhea....and it didnt stop.....never got used to it,comment3039
"diarrhea, really upset stomach, lost weight.. if you have kidney disease - you can't take metformin",comment3047
i get the occasional stomach cramps nausea and diarreha so not cool when you have ibd,comment3052
loose bowels for about a month no other side affects,comment3053
stomach upset....gas pains...still 3 mons later...2000 mg a day..,comment3055
it didn't work for me but it made me nauseated,comment3057
first couple of days made my stomach upset. been on 2 + years - no problems,comment3059
"it makes me backed up, but my sister gets the runs.  i think it depends on the person.  good luck.",comment3061
the worst wind ever it was awful and i became quite ill. i now take sitagliptin instead and it suits me much better. yes diet is important but so is taking the right meds.,comment3062
"i got so sick on metformin,..muscle aches, at one point it interfered with my breathing so i quit.",comment3064
be sure to take it with food. you will be nauseous,comment3068
highly recommend...i just started this past summer....i have more energy.....a bit of stomach upset.....and not nearly as tired...2 tabs daily.,comment3070
i take 1000mg twice a day. it gave me terrible explosive stomach but after changing to slow release it was much better.,comment3071
alot of people doesnt know that when you take meformin it affects your kidneys and when you eat alot of rice or spaghetti it will give you stomach cramps n few hours you will get the diarreha .,comment3075
cosh i am taking 500mg morning and night. both 1000mg. also my stomac had cramps but is ok know. problem is i am very tired latley. when i go to sleep and even when i woke. my arms feel so havy and it feels i have no eenergy. truely but sad. i am eeating ,comment3076
"stomach ache only if i don't take it with a meal. it tells me on the bottle to take with food or milk. also can 1 week cause constipation and the next week loose bowels and not to be really gross, but it has been known to not fully dissolve and it comes b",comment3078
diarrhea and gas.  i'm going to ask  my doc to put me on something else.,comment3081
been great for me. bowels early issue and still on occasion.,comment3084
family history of bells palsy (facial paralysis) began after 4 months.,comment3087
i honestly didn't have any side effect what so ever.  but my cousin said she was sick for 3 months with stomach/intestinal tract issues.  i think it just depends on the person.,comment3091
"i had many. rashes on my case, and gi upset.",comment3092
"i was on metformin and became verry aggresive,had problemes was always hungry.didnt work for me i am on victoza and doing fine.",comment3098
had to use the bathroom constantly. my body could not adjust,comment3099
"nausea, diarrhea,  and vomiting for me",comment3101
"for the first 2 weeks, i had gas and diarrhea. been on it for 3 years now and no side effects now. take it before you eat",comment3102
"i've been on metformin for 4 mths, 1st started on 500 mg 2x a day to 1000 mg twice a day. i've experienced nausea and stomach issues.",comment3103
"apart from diarrea spells at the beginning of my treatment, i have no side effects since then.",comment3107
"metfirman nade me unbearably nauseous. i tried taking it, bht my quality if life was zero.  i went on to insulin and i am so much better.  i was a kidney failure on dialysis four times a week and was allergic to the medicine i needed to keep my phosphorus",comment3108
i got bronchitis very bad from it... and was hospitalized for 2 weeks,comment3110
i seem to have a problem  throwing up by eating or drinking anything.. all day,comment3113
"i i took metformin for 3 yrs. i never got use to the symptoms. at odd times it would go away but more often than not, it stuck with me. extreme diarrhea and stomach cramping. though i was miserable, i took it for so long because it's suppose to be the bes",comment3114
ive been on metformin for 3 months ive had bad cramps nausia ahd upset tummy i have now got kidney problems,comment3115
"i have been on metformin for 6 months have gained weight, which is not supposed to happen 15 kilos gained. i am exercising eating correctly. but i have the added difficulty of being gluten free and dairy free. so much juggling food wise. mentally i find i",comment3119
sucked.,comment3120
"i have had diaetes for one year now, and i have goten gas and stomach achs",comment3123
"veg strips , some cheese , remember some that is over processed is full of sugars and starch , apples , but i am lucky as my appetite has ben killed by the metformin",comment3174
"i take glipizide and metformin. make sure you eat with metformin, if not you will throw up and have upset stomach you may even have cramps",comment3182
i was on glipizide at one point...nasty little devil pill. make sure you eat with both medications. metformin is known for causing gastrointestinal distress in some people and glipizide causes hypoglycemia.,comment3185
i am only on metformin had a bit of tummy trouble but that has passed,comment3186
monica that isn't true at all. i take metformin and regular do so without food and i have never thrown up or even been nauseous and have never had cramps either.,comment3187
metformin works for me. upset stomach for the first 3 days and it went away. i can take it on an empty stomach no problem. everyone is different. good luck!,comment3197
i would ask doc to change it- there are other meds. my doc wouldn't change and said i would adapt. 3 years later still have stomach issues,comment3211
everyone is different.  and it took me about 2 months to get used to it.  and i found that if i eat a little bit then take the metformin then eat a little more it worked better and i could keep my food down.,comment3212
"pure metformin gave me horrible pain & nausea. when i finally received a paper in the mail stating side effects in detail, that was a few of them. i had to be changed to actoplus met, and it works fine now.",comment3214
"i used the couple of bites , then the pills and then the  rest of the meal , still got mild cramps and some diarrhea , but no where near as bad some , try and get the slow release version , but see the doc asap",comment3221
did they start you on 1 or 2 500mg tabsgǫi was on 2 tabs twice a day and they had to reduce to 1 tab twice a day because i was having some of the same problems.  my troubles went away after they reduced the dosage.  make sure you talk with your doctor an,comment3224
"metformin is not for every one and is given out far too often as the first base, and yes i do know what i am talking about, i was taking metformin and needing to follow up with anti nauseous meds, decided to look at sr and started on lower dose. please fo",comment3225
im on the slow release ones due to nausea and diarhhea(can never spell that lol).... still get the latter tho even after 6 months ....gonna see my doc about changin medication .,comment3228
